model,fold,system,pair_id,construct_i,construct_j,true_direction,predicted_direction,probability_i_gt_j,probability_j_gt_i,pairwise_margin,correct,literature_prior_logit,unordered_pair_counted_once
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_03,RHLARHLB_T01,RHLARHLB_T04,1,-1,0.19454929575397722,0.8054507042460228,0.6109014084920456,False,-1.420716422242209,True
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_04,RHLARHLB_T02,RHLARHLB_T03,1,-1,0.36787972780670253,0.6321202721932975,0.26424054438659494,False,-0.5413236220073945,True
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_05,RHLARHLB_T02,RHLARHLB_T04,1,-1,0.27268943586609873,0.7273105641339013,0.45462112826780254,False,-0.9810200221248018,True
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_06,RHLARHLB_T03,RHLARHLB_T04,1,-1,0.39181331340533504,0.608186686594665,0.21637337318932992,False,-0.4396964001174073,True
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_01,RHLARHLB_T01,RHLARHLB_T02,-1,-1,0.4972078543580337,0.5027921456419663,0.005584291283932563,True,-0.4396964001174073,True
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_02,RHLARHLB_T01,RHLARHLB_T03,1,1,0.9611063668407485,0.03889363315925154,0.9222127336814969,True,-0.9810200221248018,True
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_03,RHLARHLB_T01,RHLARHLB_T04,1,1,0.9964065836360646,0.0035934163639353978,0.9928131672721292,True,-1.420716422242209,True
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_04,RHLARHLB_T02,RHLARHLB_T03,1,1,0.9615217196875123,0.03847828031248768,0.9230434393750246,True,-0.5413236220073945,True
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_05,RHLARHLB_T02,RHLARHLB_T04,1,1,0.9964463523037532,0.0035536476962467756,0.9928927046075064,True,-0.9810200221248018,True
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_06,RHLARHLB_T03,RHLARHLB_T04,1,1,0.9181744216807897,0.08182557831921033,0.8363488433615793,True,-0.4396964001174073,True
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_01,RHLARHLB_T01,RHLARHLB_T02,-1,-1,0.07064269890351835,0.9293573010964816,0.8587146021929633,True,-0.4396964001174073,True
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_02,RHLARHLB_T01,RHLARHLB_T03,1,-1,1.5510028428473273e-06,0.9999984489971572,0.9999968979943143,False,-0.9810200221248018,True
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_03,RHLARHLB_T01,RHLARHLB_T04,1,-1,1.731103712154629e-05,0.9999826889628785,0.9999653779257569,False,-1.420716422242209,True
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_04,RHLARHLB_T02,RHLARHLB_T03,1,-1,2.040421250406059e-05,0.999979595787496,0.9999591915749919,False,-0.5413236220073945,True
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_05,RHLARHLB_T02,RHLARHLB_T04,1,-1,0.00022769166943969847,0.9997723083305603,0.9995446166611206,False,-0.9810200221248018,True
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_06,RHLARHLB_T03,RHLARHLB_T04,1,1,0.9177723930262931,0.0822276069737069,0.8355447860525862,True,-0.4396964001174073,True
