model,system,construct,predicted_win_probability,predicted_rank,observed_rank,observed_rank_score,is_predicted_top1,top1_correct,is_predicted_top2,top2_set_correct
M3_RANKREG_SENSITIVITY,GP-PGM,GPTRC_T04,0.0012773256647736024,4,4,1.0,False,False,False,False
M3_RANKREG_SENSITIVITY,RHLA-RHLB,RHLARHLB_T03,0.9994500581952396,1,3,2.0,True,False,True,False
M3_RANKREG_SENSITIVITY,RHLA-RHLB,RHLARHLB_T04,0.6648700526394532,2,4,1.0,False,False,True,False
M3_RANKREG_SENSITIVITY,RHLA-RHLB,RHLARHLB_T02,0.33352983369652867,3,1,4.0,False,False,False,False
M3_RANKREG_SENSITIVITY,RHLA-RHLB,RHLARHLB_T01,0.0021500554687787256,4,2,3.0,False,False,False,False
M3_SYSTEM_CONDITIONED_PSCI,D-PA,DPA_T03,0.9792975606525882,1,2,3.0,True,False,True,True
M3_SYSTEM_CONDITIONED_PSCI,D-PA,DPA_T01,0.6291644373071734,2,1,4.0,False,False,True,True
M3_SYSTEM_CONDITIONED_PSCI,D-PA,DPA_T04,0.37350972740654637,3,4,1.0,False,False,False,False
M3_SYSTEM_CONDITIONED_PSCI,D-PA,DPA_T02,0.018028274633691988,4,3,2.0,False,False,False,False
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GIDAE_T04,0.7127167430639029,1,4,1.0,True,False,True,False
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GIDAE_T01,0.6927839069028532,2,2,3.0,False,False,True,False
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GIDAE_T03,0.3968749205914064,3,1,4.0,False,False,False,False
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GIDAE_T02,0.19762442944183758,4,3,2.0,False,False,False,False
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GPTRC_T01,0.9886831251708782,1,2,3.0,True,False,True,False
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GPTRC_T02,0.5983766334190221,2,3,2.0,False,False,True,False
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GPTRC_T03,0.41233028289901097,3,1,4.0,False,False,False,False
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GPTRC_T04,0.000609958511088656,4,4,1.0,False,False,False,False
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,RHLARHLB_T03,0.9725834792703155,1,3,2.0,True,False,True,False
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,RHLARHLB_T04,0.6939942014223819,2,4,1.0,False,False,True,False
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,RHLARHLB_T02,0.3098684656594751,3,1,4.0,False,False,False,False
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,RHLARHLB_T01,0.023553853647827583,4,2,3.0,False,False,False,False
